participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.investment,player.personal_account,player.indiv_share,player.tot_invest,player.start_time,player.time_spent_invest,player.time_spent_results,player.time_spent_cumulative_results,player.num_errors_decimal_invest,player.num_errors_max_invest,player.num_errors_min_invest,player.payoff_to_display,group.id_in_subsession,group.total_investment,group.individual_share,group.realized_adjustment,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,64g9jzj5,P12,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:16.421903,1,,,0.0,1,,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0,,1,,,,1,oneb7wj3,,,,,0
2,qx4cw72u,P16,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:31.924265,1,,,0.0,2,,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0,,1,,,,1,oneb7wj3,,,,,0
3,b4hfgx6d,P11,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:33.288263,1,,,0.0,3,,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0,,1,,,,1,oneb7wj3,,,,,0
4,arwm0p2d,P1,0,1,96,pgg_additive_random_instrucs,Instructions,2024-02-27 18:05:35.179999,1,,,0.0,4,,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0,,1,,,,1,oneb7wj3,,,,,0
5,0uqkkrxj,P2,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:35.614153,1,,,0.0,1,,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0,,2,,,,1,oneb7wj3,,,,,0
6,325xrxge,P13,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:36.157975,1,,,0.0,2,,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0,,2,,,,1,oneb7wj3,,,,,0
7,o7ig8x83,P6,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:36.934162,1,,,0.0,3,,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0,,2,,,,1,oneb7wj3,,,,,0
8,gmzapysw,P4,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:38.691550,1,,,0.0,4,,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0,,2,,,,1,oneb7wj3,,,,,0
9,9ya8qp8x,P3,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:40.396465,1,,,0.0,1,,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0,,3,,,,1,oneb7wj3,,,,,0
10,ikkala1f,P15,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:43.152967,1,,,0.0,2,,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0,,3,,,,1,oneb7wj3,,,,,0
11,uytv2u3y,P8,0,1,96,pgg_additive_random_instrucs,Instructions,2024-02-27 18:05:48.291392,1,,,0.0,3,,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0,,3,,,,1,oneb7wj3,,,,,0
12,m9lbeptg,P9,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:51.544209,1,,,0.0,4,,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0,,3,,,,1,oneb7wj3,,,,,0
13,osxvxukb,P7,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:53.410769,1,,,0.0,1,,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0,,4,,,,1,oneb7wj3,,,,,0
14,1h02d8c8,P14,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:55.911537,1,,,0.0,2,,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0,,4,,,,1,oneb7wj3,,,,,0
