participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.comprehension_question_one,player.comprehension_question_two,player.comprehension_question_three_a,player.comprehension_question_three_b,player.comprehension_question_four_a,player.comprehension_question_four_b,player.comprehension_question_four_c,player.time_to_answer,player.start_time,player.time_spent_instrucs,player.time_spent_compqs,player.num_errors_q_one,player.num_errors_q_two,player.num_errors_q_three_a,player.num_errors_q_three_b,player.num_errors_q_four_a,player.num_errors_q_four_b,player.num_errors_q_four_c,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,jcq0zvsq,,0,0,94,,,,0,,,0.0,1,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,keyo9hp7,,,,,1
2,i5jxwstq,,0,0,94,,,,0,,,0.0,2,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,keyo9hp7,,,,,1
3,678d8n6h,,0,0,94,,,,0,,,0.0,3,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,keyo9hp7,,,,,1
4,z5c40f8a,,0,0,94,,,,0,,,0.0,4,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,keyo9hp7,,,,,1
5,zmbe1rip,,0,0,94,,,,0,,,0.0,5,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,keyo9hp7,,,,,1
6,niqyeyrh,,0,0,94,,,,0,,,0.0,6,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,keyo9hp7,,,,,1
7,pumvnk7i,,0,0,94,,,,0,,,0.0,7,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,keyo9hp7,,,,,1
8,bu29y2xe,,0,0,94,,,,0,,,0.0,8,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,keyo9hp7,,,,,1
1,esk86h0f,P4,0,94,94,survey_base,EndPage,2024-02-27 16:05:40.566004,1,,,14.0,1,,0.0,10.0,1,0.0,10.0,11.0,4.5,15.5,300,1709050304.4718804,241.9821286201477,133.8052864074707,0,0,1,0,1,0,1,1,1,mqoz5bhq,,,,,0
2,alv81pgn,P16,0,94,94,survey_base,EndPage,2024-02-27 16:05:57.474092,1,,,14.0,2,,0.0,10.0,1,0.0,10.0,11.0,4.5,15.5,300,1709050252.380212,294.8526005744934,99.19852781295776,0,0,0,0,0,0,0,1,1,mqoz5bhq,,,,,0
3,ie0n2swc,P3,0,94,94,survey_base,EndPage,2024-02-27 16:06:43.501563,1,,,11.0,3,,0.0,10.0,1,0.0,10.0,11.0,4.5,15.5,300,1709050352.9835598,349.4178864955902,131.79234433174133,0,0,0,0,0,0,0,1,1,mqoz5bhq,,,,,0
4,5vll1bh3,P14,0,94,94,survey_base,EndPage,2024-02-27 16:06:45.052794,1,,,11.0,4,,0.0,10.0,1,0.0,10.0,11.0,4.5,15.5,300,1709050377.8708913,270.02308797836304,116.84500527381897,0,0,0,0,0,0,1,1,1,mqoz5bhq,,,,,0
5,asfetulw,P12,0,94,94,survey_base,EndPage,2024-02-27 16:06:54.012027,1,,,15.0,5,,0.0,10.0,1,0.0,10.0,11.0,4.5,15.5,300,1709050343.1017063,329.0729298591614,111.01532077789307,0,0,0,0,0,0,0,1,1,mqoz5bhq,,,,,0
6,p2bl63ah,P7,0,94,94,survey_base,EndPage,2024-02-27 16:06:54.046094,1,,,15.0,6,,0.0,10.0,1,0.0,10.0,11.0,4.5,15.5,300,1709050561.3005042,351.31256914138794,270.8808054924011,0,0,0,0,1,0,0,1,1,mqoz5bhq,,,,,0
7,q2ounc02,P15,0,94,94,survey_base,EndPage,2024-02-27 16:06:54.172094,1,,,10.0,7,,0.0,10.0,1,0.0,10.0,11.0,4.5,15.5,300,1709050270.0952435,198.37310338020325,94.00691413879395,0,0,0,0,1,0,0,1,1,mqoz5bhq,,,,,0
8,eph5imp8,P2,0,94,94,survey_base,EndPage,2024-02-27 16:06:57.626624,1,,,14.0,8,,0.0,10.0,1,0.0,10.0,11.0,4.5,15.5,300,1709050459.6021595,314.1683747768402,170.13046598434448,0,1,1,0,1,0,0,1,1,mqoz5bhq,,,,,0
9,h77bxy7c,P8,0,94,94,survey_base,EndPage,2024-02-27 16:06:59.490004,1,,,12.0,9,,0.0,10.0,1,0.0,10.0,11.0,4.5,15.5,300,1709050372.4554563,352.9441788196564,124.78465867042542,0,0,0,0,0,0,0,1,1,mqoz5bhq,,,,,0
10,gqwpnezr,P9,0,94,94,survey_base,EndPage,2024-02-27 16:07:14.396931,1,,,18.0,10,,0.0,10.0,1,0.0,10.0,11.0,4.5,15.5,300,1709050389.6607249,355.20322251319885,68.23471236228943,0,0,0,0,0,0,0,1,1,mqoz5bhq,,,,,0
11,x2edkh9n,P1,0,94,94,survey_base,EndPage,2024-02-27 16:07:17.094680,1,,,15.0,11,,0.0,10.0,1,0.0,10.0,11.0,4.5,15.5,300,1709050388.4972491,351.3847324848175,90.68886041641235,0,0,0,0,0,0,0,1,1,mqoz5bhq,,,,,0
12,xikihfa1,P5,0,94,94,survey_base,EndPage,2024-02-27 16:07:18.545697,1,,,16.0,12,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709050490.6706457,151.89952683448792,300.16489028930664,0,0,2,0,3,0,0,1,1,mqoz5bhq,,,,,0
13,rilfjvu0,P6,0,94,94,survey_base,EndPage,2024-02-27 16:07:19.067744,1,,,14.0,13,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300,1709050495.868327,156.58328342437744,300.18371868133545,0,2,0,0,0,0,0,1,1,mqoz5bhq,,,,,0
14,2a121y2b,P13,0,94,94,survey_base,EndPage,2024-02-27 16:07:21.686034,1,,,12.0,14,,0.0,10.0,1,0.0,10.0,11.0,4.5,15.5,300,1709050440.0925062,311.8639883995056,95.73902821540833,0,1,0,0,0,0,0,1,1,mqoz5bhq,,,,,0
15,m93na05t,P11,0,94,94,survey_base,EndPage,2024-02-27 16:07:26.603462,1,,,14.0,15,,0.0,10.0,1,0.0,10.0,11.0,4.5,15.5,300,1709050198.0348792,151.41194701194763,83.78085517883301,0,0,0,0,0,0,0,1,1,mqoz5bhq,,,,,0
16,8mmlh50a,P10,0,94,94,survey_base,EndPage,2024-02-27 16:08:29.729647,1,,,12.0,16,,0.0,10.0,1,0.0,10.0,11.0,4.5,15.5,300,1709050626.28807,372.4673705101013,155.75470447540283,0,1,0,0,1,0,1,1,1,mqoz5bhq,,,,,0
1,59550hbj,,0,0,94,,,,0,,,0.0,1,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,lcklukap,,,,,0
2,bct625bs,,0,0,94,,,,0,,,0.0,2,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,lcklukap,,,,,0
3,6k2uwf5o,,0,0,94,,,,0,,,0.0,3,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,lcklukap,,,,,0
4,kj550cub,,0,0,94,,,,0,,,0.0,4,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,lcklukap,,,,,0
5,5rt77sps,,0,0,94,,,,0,,,0.0,5,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,lcklukap,,,,,0
6,ky331o4q,,0,0,94,,,,0,,,0.0,6,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,lcklukap,,,,,0
7,crw10yrn,,0,0,94,,,,0,,,0.0,7,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,lcklukap,,,,,0
8,v2h9gb1y,,0,0,94,,,,0,,,0.0,8,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,lcklukap,,,,,0
9,wofgcj8l,,0,0,94,,,,0,,,0.0,9,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,lcklukap,,,,,0
10,qudt6k5h,,0,0,94,,,,0,,,0.0,10,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,lcklukap,,,,,0
11,qz7m0ne0,,0,0,94,,,,0,,,0.0,11,,0.0,,,,,,,,300,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,lcklukap,,,,,0
