participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.lottery_b_one,player.lottery_b_two,player.lottery_b_three,player.lottery_b_four,player.lottery_b_five,player.lottery_b_six,player.lottery_b_seven,player.lottery_b_eight,player.lottery_b_nine,player.lottery_b_ten,player.chosen_lottery,player.relevant_choice,player.relevant_choice_as_string,player.start_time,player.time_spent_lottery,player.time_spent_results,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,jcq0zvsq,,0,0,94,,,,0,,,0.0,1,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,keyo9hp7,,,,,1
2,i5jxwstq,,0,0,94,,,,0,,,0.0,2,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,keyo9hp7,,,,,1
3,678d8n6h,,0,0,94,,,,0,,,0.0,3,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,keyo9hp7,,,,,1
4,z5c40f8a,,0,0,94,,,,0,,,0.0,4,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,keyo9hp7,,,,,1
5,zmbe1rip,,0,0,94,,,,0,,,0.0,5,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,keyo9hp7,,,,,1
6,niqyeyrh,,0,0,94,,,,0,,,0.0,6,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,keyo9hp7,,,,,1
7,pumvnk7i,,0,0,94,,,,0,,,0.0,7,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,keyo9hp7,,,,,1
8,bu29y2xe,,0,0,94,,,,0,,,0.0,8,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,keyo9hp7,,,,,1
1,esk86h0f,P4,0,94,94,survey_base,EndPage,2024-02-27 16:05:40.566004,1,,,14.0,1,,5.0,1,1,1,1,1,2,2,2,2,2,9,2,B,1709051399.3716018,48.39859962463379,7.847991943359375,1,1,mqoz5bhq,,,,,0
2,alv81pgn,P16,0,94,94,survey_base,EndPage,2024-02-27 16:05:57.474092,1,,,14.0,2,,5.0,1,1,1,2,2,2,2,2,2,2,6,2,B,1709051399.503529,73.72790694236755,8.570459842681885,1,1,mqoz5bhq,,,,,0
3,ie0n2swc,P3,0,94,94,survey_base,EndPage,2024-02-27 16:06:43.501563,1,,,11.0,3,,1.0,1,1,1,1,1,1,2,2,2,2,1,1,A,1709051404.493025,110.50204586982727,0.6130251884460449,1,1,mqoz5bhq,,,,,0
4,5vll1bh3,P14,0,94,94,survey_base,EndPage,2024-02-27 16:06:45.052794,1,,,11.0,4,,3.0,1,1,1,1,1,1,1,2,2,2,6,1,A,1709051400.5405085,49.43214130401611,9.18128514289856,1,1,mqoz5bhq,,,,,0
5,asfetulw,P12,0,94,94,survey_base,EndPage,2024-02-27 16:06:54.012027,1,,,15.0,5,,5.0,1,1,1,1,2,2,2,2,2,2,9,2,B,1709051403.9188094,109.41849184036255,0.0717012882232666,1,1,mqoz5bhq,,,,,0
6,p2bl63ah,P7,0,94,94,survey_base,EndPage,2024-02-27 16:06:54.046094,1,,,15.0,6,,5.0,2,2,2,2,2,2,2,2,2,2,10,2,B,1709051400.4797668,55.1834659576416,9.030208826065063,1,1,mqoz5bhq,,,,,0
7,q2ounc02,P15,0,94,94,survey_base,EndPage,2024-02-27 16:06:54.172094,1,,,10.0,7,,1.0,1,1,1,1,1,2,2,2,2,2,3,1,A,1709051404.212729,54.295958280563354,0.3503696918487549,1,1,mqoz5bhq,,,,,0
8,eph5imp8,P2,0,94,94,survey_base,EndPage,2024-02-27 16:06:57.626624,1,,,14.0,8,,5.0,2,1,1,2,2,2,1,1,2,2,9,2,B,1709051401.845406,36.81221604347229,10.624555110931396,1,1,mqoz5bhq,,,,,0
9,h77bxy7c,P8,0,94,94,survey_base,EndPage,2024-02-27 16:06:59.490004,1,,,12.0,9,,1.0,1,1,1,1,1,1,2,2,2,2,5,1,A,1709051399.0922823,61.37099313735962,7.623577356338501,1,1,mqoz5bhq,,,,,0
10,gqwpnezr,P9,0,94,94,survey_base,EndPage,2024-02-27 16:07:14.396931,1,,,18.0,10,,5.0,1,1,1,2,2,2,2,2,2,2,10,2,B,1709051472.9290702,66.02619457244873,69.11483407020569,1,1,mqoz5bhq,,,,,0
11,x2edkh9n,P1,0,94,94,survey_base,EndPage,2024-02-27 16:07:17.094680,1,,,15.0,11,,1.0,1,1,1,1,1,1,2,2,2,2,6,1,A,1709051414.7469177,50.247535943984985,10.851058721542358,1,1,mqoz5bhq,,,,,0
12,xikihfa1,P5,0,94,94,survey_base,EndPage,2024-02-27 16:07:18.545697,1,,,16.0,12,,3.0,2,1,1,2,1,1,2,1,1,1,9,1,A,1709051408.183099,13.619998693466187,4.351966619491577,1,1,mqoz5bhq,,,,,0
13,rilfjvu0,P6,0,94,94,survey_base,EndPage,2024-02-27 16:07:19.067744,1,,,14.0,13,,5.0,1,2,2,1,2,1,1,1,2,2,9,2,B,1709051408.273496,21.02925682067871,4.341454982757568,1,1,mqoz5bhq,,,,,0
14,2a121y2b,P13,0,94,94,survey_base,EndPage,2024-02-27 16:07:21.686034,1,,,12.0,14,,3.0,1,1,1,1,2,2,2,2,2,2,2,1,A,1709051400.7233446,37.92751955986023,9.483273029327393,1,1,mqoz5bhq,,,,,0
15,m93na05t,P11,0,94,94,survey_base,EndPage,2024-02-27 16:07:26.603462,1,,,14.0,15,,5.0,2,2,2,2,2,2,2,2,2,2,8,2,B,1709051450.2328913,14.483850479125977,46.28320860862732,1,1,mqoz5bhq,,,,,0
16,8mmlh50a,P10,0,94,94,survey_base,EndPage,2024-02-27 16:08:29.729647,1,,,12.0,16,,3.0,1,1,1,1,1,1,2,2,2,2,5,1,A,1709051397.8475223,43.431021213531494,6.581607818603516,1,1,mqoz5bhq,,,,,0
1,59550hbj,,0,0,94,,,,0,,,0.0,1,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,lcklukap,,,,,0
2,bct625bs,,0,0,94,,,,0,,,0.0,2,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,lcklukap,,,,,0
3,6k2uwf5o,,0,0,94,,,,0,,,0.0,3,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,lcklukap,,,,,0
4,kj550cub,,0,0,94,,,,0,,,0.0,4,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,lcklukap,,,,,0
5,5rt77sps,,0,0,94,,,,0,,,0.0,5,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,lcklukap,,,,,0
6,ky331o4q,,0,0,94,,,,0,,,0.0,6,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,lcklukap,,,,,0
7,crw10yrn,,0,0,94,,,,0,,,0.0,7,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,lcklukap,,,,,0
8,v2h9gb1y,,0,0,94,,,,0,,,0.0,8,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,lcklukap,,,,,0
9,wofgcj8l,,0,0,94,,,,0,,,0.0,9,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,lcklukap,,,,,0
10,qudt6k5h,,0,0,94,,,,0,,,0.0,10,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,lcklukap,,,,,0
11,qz7m0ne0,,0,0,94,,,,0,,,0.0,11,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,lcklukap,,,,,0
12,qbyn9yeq,,0,0,94,,,,0,,,0.0,12,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,lcklukap,,,,,0
13,p2mh0as2,,0,0,94,,,,0,,,0.0,13,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,lcklukap,,,,,0
14,otg0smvh,,0,0,94,,,,0,,,0.0,14,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,lcklukap,,,,,0
15,bgzqpgv8,,0,0,94,,,,0,,,0.0,15,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,lcklukap,,,,,0
16,rfzgarra,,0,0,94,,,,0,,,0.0,16,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,lcklukap,,,,,0
1,64g9jzj5,P12,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:16.421903,1,,,0.0,1,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
2,qx4cw72u,P16,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:31.924265,1,,,0.0,2,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
3,b4hfgx6d,P11,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:33.288263,1,,,0.0,3,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
4,arwm0p2d,P1,0,1,96,pgg_additive_random_instrucs,Instructions,2024-02-27 18:05:35.179999,1,,,0.0,4,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
5,0uqkkrxj,P2,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:35.614153,1,,,0.0,5,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
6,325xrxge,P13,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:36.157975,1,,,0.0,6,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
7,o7ig8x83,P6,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:36.934162,1,,,0.0,7,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
8,gmzapysw,P4,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:38.691550,1,,,0.0,8,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
9,9ya8qp8x,P3,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:40.396465,1,,,0.0,9,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
10,ikkala1f,P15,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:43.152967,1,,,0.0,10,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
11,uytv2u3y,P8,0,1,96,pgg_additive_random_instrucs,Instructions,2024-02-27 18:05:48.291392,1,,,0.0,11,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
12,m9lbeptg,P9,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:51.544209,1,,,0.0,12,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
