participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.password_to_start,player.major,player.gender,player.grade,player.personal_versus_group,player.change,player.reason_own,player.reason_group,player.reason_conditional,player.reason_experiment,player.reason_adjust,player.reason_future_rounds,player.decision_style_facts,player.decision_style_feelings,player.decision_style_religious,player.decision_style_family,player.clarity,player.suggestions,player.start_time,player.time_spent_survey_one,player.time_spent_survey_two,player.time_spent_survey_three,player.time_spent_survey_four,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,jcq0zvsq,,0,0,94,,,,0,,,0.0,1,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,keyo9hp7,,,,,1
2,i5jxwstq,,0,0,94,,,,0,,,0.0,2,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,keyo9hp7,,,,,1
3,678d8n6h,,0,0,94,,,,0,,,0.0,3,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,keyo9hp7,,,,,1
4,z5c40f8a,,0,0,94,,,,0,,,0.0,4,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,keyo9hp7,,,,,1
5,zmbe1rip,,0,0,94,,,,0,,,0.0,5,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,keyo9hp7,,,,,1
6,niqyeyrh,,0,0,94,,,,0,,,0.0,6,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,keyo9hp7,,,,,1
7,pumvnk7i,,0,0,94,,,,0,,,0.0,7,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,keyo9hp7,,,,,1
8,bu29y2xe,,0,0,94,,,,0,,,0.0,8,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,keyo9hp7,,,,,1
1,esk86h0f,P4,0,94,94,survey_base,EndPage,2024-02-27 16:05:40.566004,1,,,14.0,1,,0.0,Questionnaire,1,1,5,I didn't see anyone investing in the group joint account. So I preferred personal account,I don't remember exactly,1,3,4,2,1,1,1,2,3,2,1,Thank You,1709051633.1115732,47.472135066986084,35.837137937545776,18.91540503501892,12.271702289581299,1,1,mqoz5bhq,,,,,0
2,alv81pgn,P16,0,94,94,survey_base,EndPage,2024-02-27 16:05:57.474092,1,,,14.0,2,,0.0,Questionnaire,1,1,5,No one from my group was investing in the group account,"As no one from my group was investing in the group account, I also started investing almost everything in my personal account",1,3,2,2,1,3,2,2,4,3,2,Good experiment. Looking forward to see many more like this,1709051790.398885,87.11464929580688,37.82813572883606,26.26432728767395,117.2797577381134,1,1,mqoz5bhq,,,,,0
